Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer
1,¿Cuál es el símbolo químico del agua?,Hg,H2O,O2,CO2,B
2,¿Qué gas es responsable del efecto invernadero?,Oxígeno (O2),Nitrógeno (N2),Dióxido de Carbono (CO2),Metano (CH4),C
3,¿Cuál es la central energética de la célula?,Núcleo,Mitocondria,Aparato de Golgi,Retículo Endoplásmico,B
4,¿Qué planeta es conocido como el 'Planeta Rojo'?,Venus,Mars,Júpiter,Saturno,B
5,¿Cuál es la fórmula para el principio de equivalencia masa-energía de Einstein (E=mc^2)?,E=mc^2,E=mv^2,F=ma,W=mg,A
6,¿Cuál es el órgano más grande del cuerpo humano?,Corazón,Hígado,Piel,Cerebro,C
7,¿Qué elemento tiene el símbolo químico 'O'?,Oxígeno (O),Osmiun (Os),Oxígeno (O2),Ozono (O3),A
8,¿Cuál es el proceso por el cual las plantas fabrican su propio alimento?,Fotosíntesis,Respiración,Transpiración,Evaporación,A
9,¿Cuál es la velocidad de la luz en el vacío?,300,000 km/s,500,000 km/s,700,000 km/s,900,000 km/s,A
10,¿Quién es conocido como el padre de la física moderna?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,B
11,¿Cuál es el símbolo químico del oro?,Au,Ag,Fe,Cu,A
12,¿Qué planeta está más cerca del Sol?,Venus,Mars,Mercurio,Júpiter,C
13,¿Cuál es el gas principal responsable de la atmósfera de la Tierra?,Oxígeno (O2),Nitrógeno (N2),Dióxido de Carbono (CO2),Argón (Ar),B
14,¿Cuál es el proceso por el cual las rocas se descomponen en partículas más pequeñas?,Meteorización,Erosión,Deposición,Compactación,A
15,¿Cuál es la función principal de los glóbulos rojos?,Transportar oxígeno,Coagular la sangre,Combatir infecciones,Producir anticuerpos,A
16,¿Cuál es el símbolo químico de la plata?,Au,Ag,Fe,Cu,B
17,¿Qué gas liberan las plantas durante la fotosíntesis?,Oxígeno (O2),Dióxido de Carbono (CO2),Nitrógeno (N2),Hidrógeno (H2),A
18,¿Cuál es el océano más grande de la Tierra?,Océano Atlántico,Océano Índico,Océano Austral,Océano Pacífico,D
19,¿Cuál es el punto de ebullición del agua en Celsius?,100°C,0°C,-10°C,50°C,A
20,¿Quién desarrolló la teoría de la evolución por selección natural?,Charles Darwin,Albert Einstein,Isaac Newton,Galileo Galilei,A
