Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer
1,¿Qué río es el más largo del mundo?,Río Amazonas,Río Nilo,Río Yangtsé,Río Misisipi,A
2,¿Cuál es la capital de Australia?,Sídney,Melbourne,Canberra,Perth,C
3,¿Cuál es la cadena montañosa más larga del mundo?,Montañas de los Andes,Himalayas,Montañas Rocosas,Los Alpes,A
4,¿En qué continente se encuentra el Desierto del Sahara?,África,Asia,Europa,Australia,A
5,¿Cuál es el océano más grande del mundo?,Océano Atlántico,Océano Índico,Océano Austral,Océano Pacífico,D
6,¿Qué país es conocido como la Tierra del Sol Naciente?,China,India,Japón,Corea del Sur,C
7,¿Cuál es la capital de Brasil?,Río de Janeiro,São Paulo,Brasilia,Salvador,C
8,¿Qué país africano es conocido como la 'Perla de África'?,Nigeria,Kenia,Uganda,Sudáfrica,C
9,¿Cuál es la moneda de Japón?,Yuan,Yen,Won,Rupia,B
10,¿En qué país se encuentra la antigua ciudad de Petra?,Egipto,Arabia Saudita,Jordania,Iraq,C
11,¿Qué país europeo es conocido por sus molinos de viento, tulipanes y zapatos de madera?,Alemania,Países Bajos,Francia,Italia,B
12,¿Cuál es el continente más pequeño del mundo?,Asia,África,Australia,Europa,C
13,¿Qué río atraviesa París?,Río Danubio,Río Sena,Río Támesis,Río Rin,B
14,¿En qué país se encuentra la Gran Barrera de Coral?,Brasil,Australia,Filipinas,Tailandia,B
15,¿Qué desierto se conoce a menudo como el 'Techo del Mundo'?,Desierto de Gobi,Desierto del Sahara,Desierto de Atacama,Desierto de Taklamakan,A
16,¿Cuál es la capital de Canadá?,Toronto,Montreal,Vancouver,Ottawa,D
17,¿Qué país insular es conocido como la 'Perla del Océano Índico'?,Maldivas,Sri Lanka,Mauricio,Seychelles,B
18,¿En qué estado de EE. UU. se encuentra el Gran Cañón?,California,Arizona,Texas,Colorado,B
19,¿Qué estrecho separa África de Europa?,Estrecho de Bering,Estrecho de Gibraltar,Estrecho de Palk,Estrecho del Bósforo,B
20,¿Cuál es la montaña más alta del mundo?,Monte Kilimanjaro,Monte Everest,Monte McKinley,K2,B
